tx1,tx2,tx3,tx4,quartet,obsCF,expCF_net0,expCF_net1
10,12,7,9,12_34,0.360093333333333,0.2424255575156789,0.3311377416171152
10,12,7,9,13_24,0.0648066666666667,0.2424255575156789,0.0722190965210158
10,12,7,9,14_23,0.5751,0.5151488849686422,0.5966431618618689
10,12,9,15,12_34,0.236716666666667,0.12722358668021233,0.24523029005699892
10,12,9,15,13_24,0.70954,0.7455528266395753,0.6941988644121665
10,12,9,15,14_23,0.0537466666666667,0.12722358668021233,0.060570845530834534
10,12,13,15,12_34,0.00800333333333333,0.010244033150936442,0.01283367999811319
10,12,13,15,13_24,0.0167733333333333,0.010244033150936442,0.01283367999811319
10,12,13,15,14_23,0.975226666666667,0.9795119336981272,0.9743326400037736
10,12,11,13,12_34,0.0197566666666667,0.02096607686690389,0.015602544735035386
10,12,11,13,13_24,0.972716666666667,0.9580678462661922,0.9687949105299293
10,12,11,13,14_23,0.00752666666666667,0.02096607686690389,0.015602544735035386
10,12,5,13,12_34,0.00800333333333333,0.010244033150936442,0.01283367999811319
10,12,5,13,13_24,0.975226666666667,0.9795119336981272,0.9743326400037736
10,12,5,13,14_23,0.0167733333333333,0.010244033150936442,0.01283367999811319
10,12,8,15,12_34,0.231126666666667,0.12722358668021233,0.24523029005699892
10,12,8,15,13_24,0.728303333333333,0.7455528266395753,0.6941988644121665
10,12,8,15,14_23,0.04057,0.12722358668021233,0.060570845530834534
10,12,13,14,12_34,0.00800333333333333,0.010244033150936442,0.01283367999811319
10,12,13,14,13_24,0.0167733333333333,0.010244033150936442,0.01283367999811319
10,12,13,14,14_23,0.975226666666667,0.9795119336981272,0.9743326400037736
10,12,3,1,12_34,0.99995,0.9969897752571357,0.997337093140327
10,12,3,1,13_24,3.33333333333333e-5,0.0015051123714321228,0.0013314534298364622
10,12,3,1,14_23,1.66666666666667e-5,0.0015051123714321228,0.0013314534298364622
10,12,4,2,12_34,0.999996666666667,0.9996063530839049,0.999651775139102
10,12,4,2,13_24,0.0,0.0001968234580475299,0.00017411243044901522
10,12,4,2,14_23,0.0,0.0001968234580475299,0.00017411243044901522
10,12,5,9,12_34,0.236716666666667,0.12722358668021233,0.24523029005699892
10,12,5,9,13_24,0.0537466666666667,0.12722358668021233,0.060570845530834534
10,12,5,9,14_23,0.70954,0.7455528266395753,0.6941988644121665
10,12,11,15,12_34,0.06903,0.16286679375716068,0.0906408332623887
10,12,11,15,13_24,0.416116666666667,0.16286679375716068,0.3927553759395892
10,12,11,15,14_23,0.514853333333333,0.6742664124856786,0.516603790798022
10,12,2,1,12_34,0.99995,0.9969897752571357,0.997337093140327
10,12,2,1,13_24,3.33333333333333e-5,0.0015051123714321228,0.0013314534298364622
10,12,2,1,14_23,1.66666666666667e-5,0.0015051123714321228,0.0013314534298364622
10,12,4,1,12_34,0.999946666666667,0.9969897752571357,0.997337093140327
